FileName,FuncName and Var Id,M2R,Dual,M2R \ Dual,Dual\M2R,Comments
simple_coder.c,simple_code-0,"set(['25', '13', '38', '33', '37', '29'])","set(['33', '38', '37', '29'])","set(['25', '13'])",set([]),subset
simple_coder.c,simple_code-1,"set(['25', '13', '38', '20', '33', '37', '29'])","set(['13', '38', '20', '33', '37', '29'])",set(['25']),set([]),subset
simple_coder.c,lzma_simple_coder_init-1,"set(['13', '17', '16'])",set(['13']),"set(['17', '16'])",set([]),subset
simple_coder.c,lzma_simple_coder_init-0,"set(['13', '17', '16'])",set(['17']),"set(['13', '16'])",set([]),subset
block_encoder.c,block_encoder_update-1,set(['3']),set(['3']),set([]),set([]),subset
block_encoder.c,block_encoder_update-0,set(['3']),set(['3']),set([]),set([]),subset
block_encoder.c,lzma_block_encoder-0,"set(['10', '13', '5', '14'])","set(['10', '13', '14'])",set(['5']),set([]),subset
block_encoder.c,lzma_block_encoder_init-0,set(['17']),set(['17']),set([]),set([]),subset
block_encoder.c,lzma_block_encoder-1,"set(['10', '13', '5', '14'])","set(['10', '13', '5', '14'])",set([]),set([]),subset
block_encoder.c,block_encode-1,"set(['9', '11', '24', '22', '19'])","set(['9', '24', '22'])","set(['11', '19'])",set([]),subset
block_encoder.c,block_encode-0,"set(['9', '11', '24', '22', '19'])","set(['9', '24', '22'])","set(['11', '19'])",set([]),subset
file_io.c,is_sparse-2,set(['1']),set(['1']),set([]),set([]),subset
file_io.c,is_sparse-1,set(['7']),set(['7']),set([]),set([]),subset
file_io.c,is_sparse-0,"set(['9', '7'])",set(['9']),set(['7']),set([]),subset
file_io.c,io_close-0,"set(['9', '8', '7', '11'])","set(['9', '8', '7', '11'])",set([]),set([]),subset
file_io.c,io_read-0,"set(['1', '11', '13', '14'])","set(['11', '14'])","set(['1', '13'])",set([]),subset
file_io.c,io_read-3,"set(['1', '11', '13', '14'])","set(['1', '11', '13', '14'])",set([]),set([]),subset
file_io.c,io_read-2,"set(['1', '11', '13', '14'])","set(['1', '11', '13', '14'])",set([]),set([]),subset
file_io.c,io_write_buf-3,"set(['1', '11', '14'])","set(['1', '11', '14'])",set([]),set([]),subset
file_io.c,io_write_buf-2,"set(['1', '11', '14'])","set(['1', '11', '14'])",set([]),set([]),subset
file_io.c,io_write_buf-1,"set(['1', '11', '14'])",set(['11']),"set(['1', '14'])",set([]),subset
file_io.c,io_write_buf-0,"set(['1', '11', '14'])","set(['11', '14'])",set(['1']),set([]),subset
file_io.c,io_write-0,set(['14']),set(['14']),set([]),set([]),subset
file_io.c,io_pread-1,"set(['8', '7'])",set(['7']),set(['8']),set([]),subset
file_io.c,io_open_src-0,set(['3']),set(['3']),set([]),set([]),subset
file_io.c,io_close_dest-0,set(['6']),set(['6']),set([]),set([]),subset
file_io.c,io_read-1,"set(['1', '11', '13', '14'])","set(['11', '14'])","set(['1', '13'])",set([]),subset
file_io.c,io_pread-0,"set(['8', '7'])","set(['8', '7'])",set([]),set([]),subset
file_io.c,io_open_dest_real-1,"set(['5', '6'])",set(['5']),set(['6']),set([]),subset
file_io.c,io_open_dest_real-0,"set(['5', '6'])","set(['5', '6'])",set([]),set([]),subset
file_io.c,io_open_src_real-0,set(['15']),set(['15']),set([]),set([]),subset
file_io.c,io_open_src_real-1,set(['15']),set(['15']),set([]),set([]),subset
vli_size.c,lzma_vli_size-2,"set(['3', '6'])",set(['3']),set(['6']),set([]),subset
vli_size.c,lzma_vli_size-0,set(['6']),set(['6']),set([]),set([]),subset
vli_size.c,lzma_vli_size-1,"set(['3', '6'])","set(['3', '6'])",set([]),set([]),subset
lzma_encoder_presets.c,lzma_lzma_preset-0,set(['16']),set(['16']),set([]),set([]),subset
lzma_encoder_presets.c,lzma_lzma_preset-1,set(['16']),set(['16']),set([]),set([]),subset
powerpc.c,powerpc_code-1,set(['1']),set(['1']),set([]),set([]),subset
powerpc.c,powerpc_code-0,"set(['1', '8', '7'])",set(['7']),"set(['1', '8'])",set([]),subset
filter_encoder.c,lzma_raw_encoder-1,"set(['10', '13', '5', '14'])","set(['10', '13', '5', '14'])",set([]),set([]),subset
filter_encoder.c,lzma_raw_encoder-0,"set(['10', '13', '5', '14'])","set(['10', '13', '14'])",set(['5']),set([]),subset
filter_encoder.c,lzma_properties_size-1,set(['5']),set(['5']),set([]),set([]),subset
filter_encoder.c,lzma_properties_size-0,set(['5']),set(['5']),set([]),set([]),subset
filter_encoder.c,lzma_properties_encode-1,set(['5']),set(['5']),set([]),set([]),subset
filter_encoder.c,lzma_properties_encode-0,set(['5']),set(['5']),set([]),set([]),subset
filter_encoder.c,encoder_find-2,set(['1']),set(['1']),set([]),set([]),subset
filter_encoder.c,encoder_find-1,set(['7']),set(['7']),set([]),set([]),subset
filter_encoder.c,encoder_find-0,"set(['9', '7'])",set(['9']),set(['7']),set([]),subset
filter_encoder.c,lzma_filters_update-2,"set(['13', '5'])",set(['5']),set(['13']),set([]),subset
filter_encoder.c,lzma_filters_update-0,set(['13']),set(['13']),set([]),set([]),subset
filter_encoder.c,lzma_filters_update-1,"set(['8', '13'])",set(['8']),set(['13']),set([]),subset
easy_encoder_memusage.c,lzma_easy_encoder_memusage-0,set(['3']),set(['3']),set([]),set([]),subset
easy_encoder_memusage.c,lzma_easy_encoder_memusage-1,set(['3']),set(['3']),set([]),set([]),subset
lzma2_encoder.c,lzma2_encode-1,"set(['1', '27', '20', '36', '38'])",set(['20']),"set(['1', '27', '36', '38'])",set([]),subset
lzma2_encoder.c,get_pos_slot-0,set(['5']),set(['5']),set([]),set([]),subset
lzma2_encoder.c,lzma2_encode-2,"set(['25', '27', '17', '16', '36', '1', '12', '38'])","set(['25', '38', '12', '17', '16'])","set(['1', '27', '36'])",set([]),subset
lzma2_encoder.c,lzma2_encode-0,"set(['25', '27', '17', '16', '36', '1', '12', '38'])","set(['25', '38', '12', '17', '16'])","set(['1', '27', '36'])",set([]),subset
lzma2_encoder.c,lzma_lzma2_encoder_memusage-1,set(['3']),set(['3']),set([]),set([]),subset
lzma2_encoder.c,lzma_lzma2_encoder_memusage-0,set(['3']),set(['3']),set([]),set([]),subset
lzma2_encoder.c,lzma_lzma2_props_encode-0,{},{},set([]),set([]),subset
lzma2_encoder.c,lzma2_encoder_init-1,"set(['12', '17'])",set(['12']),set(['17']),set([]),subset
lzma2_encoder.c,lzma2_encoder_init-0,"set(['12', '17'])",set(['17']),set(['12']),set([]),subset
lzma2_encoder.c,lzma2_header_lzma-0,set(['9']),set(['9']),set([]),set([]),subset
lzma2_encoder.c,lzma2_encoder_options_update-1,"set(['13', '14'])","set(['13', '14'])",set([]),set([]),subset
lzma2_encoder.c,lzma2_encoder_options_update-0,"set(['13', '14'])","set(['13', '14'])",set([]),set([]),subset
common.c,lzma_next_filter_update-0,set(['5']),set(['5']),set([]),set([]),subset
common.c,lzma_memlimit_get-0,set(['6']),set(['6']),set([]),set([]),subset
common.c,lzma_memlimit_get-1,set(['6']),set(['6']),set([]),set([]),subset
common.c,lzma_alloc-1,set(['6']),set(['6']),set([]),set([]),subset
common.c,lzma_alloc-0,set(['2']),set(['2']),set([]),set([]),subset
common.c,lzma_get_check-0,set(['3']),set(['3']),set([]),set([]),subset
common.c,lzma_code-0,set(['58']),set(['58']),set([]),set([]),subset
common.c,lzma_code-1,"set(['47', '57', '58', '49'])","set(['47', '57', '49'])",set(['58']),set([]),subset
common.c,lzma_memusage-1,set(['6']),set(['6']),set([]),set([]),subset
common.c,lzma_memusage-0,set(['6']),set(['6']),set([]),set([]),subset
common.c,lzma_memlimit_set-0,set(['8']),set(['8']),set([]),set([]),subset
common.c,lzma_memlimit_set-1,set(['8']),set(['8']),set([]),set([]),subset
common.c,lzma_strm_init-0,set(['7']),set(['7']),set([]),set([]),subset
x86.c,x86_code-8,"set(['39', '17', '22', '32', '44', '43', '40', '34', '5'])","set(['39', '17', '22', '32', '44', '43', '40', '34'])",set(['5']),set([]),subset
x86.c,x86_code-3,"set(['12', '17', '44', '43', '40', '5'])",set(['12']),"set(['44', '5', '43', '17', '40'])",set([]),subset
x86.c,x86_code-2,"set(['39', '22', '32', '44', '43', '40', '34', '5'])","set(['32', '44', '22', '34'])","set(['39', '5', '43', '40'])",set([]),subset
x86.c,x86_code-1,"set(['26', '22', '39', '44', '43', '40', '5'])",set(['26']),"set(['39', '22', '44', '43', '40', '5'])",set([]),subset
x86.c,x86_code-0,set(['43']),set(['43']),set([]),set([]),subset
x86.c,x86_code-7,"set(['44', '5', '4', '40', '43'])","set(['44', '5', '4', '40', '43'])",set([]),set([]),subset
x86.c,x86_code-6,"set(['39', '12', '17', '44', '43', '40', '38', '5'])","set(['39', '12', '17', '44', '43', '40', '38', '5'])",set([]),set([]),subset
x86.c,x86_code-5,"set(['39', '5', '43', '40', '44'])","set(['39', '5', '44', '40'])",set(['43']),set([]),subset
x86.c,x86_code-4,"set(['39', '22', '44', '43', '40', '34', '5'])","set(['39', '44', '40', '22', '34'])","set(['5', '43'])",set([]),subset
util.c,uint64_to_nicestr-1,"set(['12', '5'])","set(['12', '5'])",set([]),set([]),subset
util.c,xrealloc-0,{},{},set([]),set([]),subset
util.c,is_empty_filename-0,set(['3']),set(['3']),set([]),set([]),subset
util.c,uint64_to_nicestr-0,"set(['12', '5'])",set(['5']),set(['12']),set([]),subset
util.c,str_to_uint64-4,"set(['11', '49', '45', '50', '43', '16'])","set(['11', '49', '45', '50', '43', '16'])",set([]),set([]),subset
util.c,str_to_uint64-0,set(['50']),set(['50']),set([]),set([]),subset
util.c,str_to_uint64-1,"set(['38', '49', '33', '32', '31', '45', '50'])","set(['33', '32', '31', '38'])","set(['45', '50', '49'])",set([]),subset
util.c,str_to_uint64-2,"set(['11', '49', '45', '50', '1', '16'])","set(['11', '49', '45', '50', '1', '16'])",set([]),set([]),subset
util.c,str_to_uint64-3,"set(['11', '49', '45', '50', '43', '16'])","set(['50', '49', '45', '43', '16'])",set(['11']),set([]),subset
crc64_small.c,lzma_crc64-2,set(['5']),set(['5']),set([]),set([]),subset
crc64_small.c,lzma_crc64-0,set(['5']),set(['5']),set([]),set([]),subset
crc64_small.c,lzma_crc64-1,set(['5']),set(['5']),set([]),set([]),subset
crc64_small.c,crc64_init-2,"set(['1', '9', '4'])","set(['9', '4'])",set(['1']),set([]),subset
crc64_small.c,crc64_init-3,"set(['1', '4'])",set(['4']),set(['1']),set([]),subset
crc64_small.c,crc64_init-0,set(['1']),set(['1']),set([]),set([]),subset
crc64_small.c,crc64_init-1,set(['1']),{},set(['1']),set([]),subset
fastpos_tablegen.c,main-4,set(['1']),{},set(['1']),set([]),subset
fastpos_tablegen.c,main-5,"set(['1', '4'])",set(['4']),set(['1']),set([]),subset
fastpos_tablegen.c,main-2,"set(['1', '4'])","set(['1', '4'])",set([]),set([]),subset
fastpos_tablegen.c,main-3,set(['1']),set(['1']),set([]),set([]),subset
fastpos_tablegen.c,main-0,{},{},set([]),set([]),subset
fastpos_tablegen.c,main-1,set(['11']),set(['11']),set([]),set([]),subset
vli_decoder.c,lzma_vli_decode-1,"set(['25', '13', '21'])","set(['25', '21'])",set(['13']),set([]),subset
vli_decoder.c,lzma_vli_decode-0,"set(['25', '13', '21'])","set(['25', '21'])",set(['13']),set([]),subset
vli_decoder.c,lzma_vli_decode-2,"set(['25', '12'])","set(['25', '12'])",set([]),set([]),subset
alone_decoder.c,lzma_alone_decoder-0,"set(['10', '13', '5', '14'])","set(['10', '13', '14'])",set(['5']),set([]),subset
alone_decoder.c,lzma_alone_decoder-1,"set(['10', '13', '5', '14'])","set(['10', '13', '5', '14'])",set([]),set([]),subset
alone_decoder.c,alone_decode-1,"set(['16', '19', '18', '37', '35', '1', '32'])","set(['16', '19', '18', '37', '35', '32'])",set(['1']),set([]),subset
alone_decoder.c,alone_decode-0,"set(['16', '19', '18', '37', '35', '1', '32'])","set(['16', '19', '18', '37', '35', '32'])",set(['1']),set([]),subset
alone_decoder.c,lzma_alone_decoder_init-0,set(['11']),set(['11']),set([]),set([]),subset
alone_decoder.c,alone_decoder_memconfig-0,set(['5']),set(['5']),set([]),set([]),subset
alone_decoder.c,alone_decoder_memconfig-1,set(['5']),set(['5']),set([]),set([]),subset
sha256.c,process-0,set(['1']),set(['1']),set([]),set([]),subset
sha256.c,transform-0,set(['1']),set(['1']),set([]),set([]),subset
sha256.c,lzma_sha256_finish-1,"set(['1', '4'])","set(['1', '4'])",set([]),set([]),subset
sha256.c,lzma_sha256_finish-0,set(['6']),set(['6']),set([]),set([]),subset
sha256.c,lzma_sha256_update-1,set(['1']),set(['1']),set([]),set([]),subset
sha256.c,lzma_sha256_update-0,set(['1']),set(['1']),set([]),set([]),subset
sha256.c,lzma_sha256_update-2,"set(['1', '4'])",set(['4']),set(['1']),set([]),subset
price_tablegen.c,init_price_table-4,"set(['1', '4', '7'])","set(['4', '7'])",set(['1']),set([]),subset
price_tablegen.c,init_price_table-0,set(['1']),set(['1']),set([]),set([]),subset
price_tablegen.c,init_price_table-1,set(['1']),{},set(['1']),set([]),subset
price_tablegen.c,init_price_table-2,"set(['1', '4'])",set(['4']),set(['1']),set([]),subset
price_tablegen.c,init_price_table-3,"set(['1', '4', '7'])","set(['4', '7'])",set(['1']),set([]),subset
price_tablegen.c,print_price_table-0,set(['1']),set(['1']),set([]),set([]),subset
index.c,ctz32-0,"set(['8', '2', '4', '6'])","set(['8', '2', '4', '6'])",set([]),set([]),subset
index.c,ctz32-1,"set(['8', '2', '4', '10', '6'])","set(['8', '2', '4', '10', '6'])",set([]),set([]),subset
index.c,index_tree_locate-0,"set(['1', '5'])","set(['1', '5'])",set([]),set([]),subset
index.c,index_tree_locate-1,"set(['1', '5'])","set(['1', '5'])",set([]),set([]),subset
index.c,lzma_index_stream_flags-0,"set(['10', '7'])",set(['10']),set(['7']),set([]),subset
index.c,lzma_index_stream_flags-1,"set(['10', '7'])","set(['10', '7'])",set([]),set([]),subset
index.c,index_tree_next-1,"set(['11', '2', '6'])","set(['11', '2', '6'])",set([]),set([]),subset
index.c,index_tree_next-0,set(['11']),set(['11']),set([]),set([]),subset
index.c,lzma_index_checks-0,set(['2']),set(['2']),set([]),set([]),subset
index.c,lzma_index_memusage-0,set(['8']),set(['8']),set([]),set([]),subset
index.c,lzma_index_memusage-1,set(['8']),set(['8']),set([]),set([]),subset
index.c,lzma_index_prealloc-0,set(['2']),set(['2']),set([]),set([]),subset
index.c,lzma_index_stream_padding-0,"set(['8', '7'])","set(['8', '7'])",set([]),set([]),subset
index.c,lzma_index_stream_padding-1,"set(['8', '7'])",set(['7']),set(['8']),set([]),subset
index.c,index_file_size-1,set(['5']),set(['5']),set([]),set([]),subset
index.c,index_file_size-0,set(['5']),set(['5']),set([]),set([]),subset
index.c,index_file_size-2,set(['5']),set(['5']),set([]),set([]),subset
index.c,index_tree_append-0,"set(['13', '12', '4'])","set(['12', '4'])",set(['13']),set([]),subset
index.c,index_tree_append-1,"set(['13', '12', '4'])","set(['13', '12', '4'])",set([]),set([]),subset
index.c,lzma_index_iter_next-3,"set(['23', '33', '32', '44', '45', '34', '7', '9', '8'])","set(['23', '33', '32', '44', '34', '7', '9', '8'])",set(['45']),set([]),subset
index.c,lzma_index_iter_next-2,"set(['9', '33', '44', '45', '34'])","set(['9', '33', '44', '34'])",set(['45']),set([]),subset
index.c,lzma_index_iter_next-1,"set(['44', '45'])",set(['44']),set(['45']),set([]),subset
index.c,lzma_index_iter_next-0,"set(['44', '45'])","set(['44', '45'])",set([]),set([]),subset
index.c,lzma_index_iter_next-4,"set(['25', '12', '17', '33', '32', '44', '45', '34', '9'])","set(['25', '12', '17', '33', '32', '44', '34', '9'])",set(['45']),set([]),subset
index.c,lzma_index_iter_locate-0,set(['9']),set(['9']),set([]),set([]),subset
index.c,lzma_index_iter_locate-1,"set(['9', '3', '7'])","set(['3', '7'])",set(['9']),set([]),subset
index.c,lzma_index_iter_locate-2,set(['9']),set(['9']),set([]),set([]),subset
index.c,lzma_index_iter_locate-3,"set(['9', '3', '7'])","set(['3', '7'])",set(['9']),set([]),subset
index.c,lzma_index_iter_locate-4,set(['9']),set(['9']),set([]),set([]),subset
index.c,lzma_index_append-0,"set(['22', '23'])","set(['22', '23'])",set([]),set([]),subset
index.c,lzma_index_append-1,"set(['22', '23'])",set(['22']),set(['23']),set([]),subset
index.c,lzma_index_append-2,"set(['21', '22', '23'])","set(['21', '22'])",set(['23']),set([]),subset
index.c,bsr32-0,"set(['8', '2', '4', '6'])","set(['8', '2', '4', '6'])",set([]),set([]),subset
index.c,bsr32-1,"set(['8', '2', '4', '10', '6'])","set(['8', '2', '4', '10', '6'])",set([]),set([]),subset
index.c,lzma_index_dup-0,"set(['11', '10', '3', '6'])","set(['11', '10'])","set(['3', '6'])",set([]),subset
index.c,lzma_index_dup-1,"set(['11', '3', '6'])","set(['3', '6'])",set(['11']),set([]),subset
index.c,lzma_index_dup-2,"set(['11', '10', '3', '6'])","set(['11', '10', '6'])",set(['3']),set([]),subset
index.c,index_dup_stream-0,"set(['11', '13', '12'])","set(['11', '13', '12'])",set([]),set([]),subset
index.c,lzma_index_cat-1,"set(['18', '23', '20', '21', '6'])","set(['18', '23', '20', '21', '6'])",set([]),set([]),subset
index.c,lzma_index_cat-0,"set(['18', '23', '20', '21', '6'])","set(['18', '20', '21', '23'])",set(['6']),set([]),subset
index.c,index_dup_stream-1,"set(['11', '8', '13', '12'])",set(['8']),"set(['11', '13', '12'])",set([]),subset
index.c,index_stream_init-0,set(['3']),set(['3']),set([]),set([]),subset
index.c,index_stream_init-1,set(['3']),set(['3']),set([]),set([]),subset
index.c,lzma_index_init-0,"set(['5', '6'])","set(['5', '6'])",set([]),set([]),subset
index.c,lzma_index_init-1,"set(['5', '6'])","set(['5', '6'])",set([]),set([]),subset
index.c,index_dup_stream-2,"set(['11', '8', '13', '12'])",set(['8']),"set(['11', '13', '12'])",set([]),subset
index.c,index_dup_stream-3,"set(['11', '13', '12'])","set(['11', '12'])",set(['13']),set([]),subset
coder.c,is_format_lzma-0,"set(['11', '20', '21', '22', '23', '9'])","set(['20', '21', '22', '23'])","set(['11', '9'])",set([]),subset
coder.c,coder_init-3,"set(['13', '12', '21', '16', '19', '36', '41'])","set(['19', '13', '12', '21', '16'])","set(['36', '41'])",set([]),subset
coder.c,coder_init-2,"set(['33', '30', '36', '41', '6', '34'])","set(['33', '30', '36', '41', '6', '34'])",set([]),set([]),subset
coder.c,coder_init-1,"set(['41', '36', '34'])","set(['41', '34'])",set(['36']),set([]),subset
coder.c,coder_init-0,"set(['41', '36', '34'])",set(['41']),"set(['36', '34'])",set([]),subset
coder.c,is_format_lzma-2,"set(['12', '21', '22', '23'])",set(['12']),"set(['21', '22', '23'])",set([]),subset
coder.c,is_format_lzma-1,"set(['11', '20', '21', '22', '23', '9'])","set(['9', '20', '21', '22'])","set(['11', '23'])",set([]),subset
coder.c,coder_run-1,set(['14']),set(['14']),set([]),set([]),subset
coder.c,coder_set_compression_settings-1,"set(['33', '49'])",set(['33']),set(['49']),set([]),subset
coder.c,coder_set_compression_settings-2,"set(['40', '22', '49'])","set(['40', '22', '49'])",set([]),set([]),subset
coder.c,is_format_lzma-3,"set(['12', '21', '22', '23'])",set(['12']),"set(['21', '22', '23'])",set([]),subset
coder.c,coder_passthru-0,set(['10']),set(['10']),set([]),set([]),subset
coder.c,coder_set_compression_settings-0,"set(['19', '12'])",set(['12']),set(['19']),set([]),subset
coder.c,coder_normal-1,"set(['1', '8', '9', '42'])","set(['1', '8', '9', '42'])",set([]),set([]),subset
coder.c,coder_normal-2,"set(['1', '31', '42', '39', '41'])","set(['31', '42', '39', '41'])",set(['1']),set([]),subset
coder.c,coder_normal-3,"set(['1', '39', '42', '41'])","set(['1', '39', '42', '41'])",set([]),set([]),subset
coder.c,coder_normal-0,"set(['1', '39', '42', '41'])",set(['39']),"set(['1', '42', '41'])",set([]),subset
coder.c,coder_run-0,"set(['11', '10', '13', '12', '14'])","set(['11', '10', '13', '12'])",set(['14']),set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-9,"set(['91', '25', '26', '29', '90', '68', '89', '66', '83', '9', '69', '92', '87', '84'])","set(['25', '26', '29', '90', '91', '89', '66', '83', '68', '69', '92', '87', '84'])",set(['9']),set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-8,"set(['24', '25', '26', '29', '9', '92'])","set(['9', '24', '26', '29', '25'])",set(['92']),set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-1,"set(['91', '69', '92', '90'])",set(['69']),"set(['91', '90', '92'])",set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-0,"set(['75', '90', '91', '69', '92', '87', '84'])",set(['75']),"set(['69', '91', '90', '92', '87', '84'])",set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-3,"set(['9', '26', '92', '15', '29'])",set(['15']),"set(['9', '26', '92', '29'])",set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-2,"set(['91', '44', '92', '34'])","set(['44', '34'])","set(['91', '92'])",set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-5,"set(['24', '25', '26', '29', '9', '92'])","set(['9', '24', '26', '29', '25'])",set(['92']),set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-4,"set(['9', '92'])",set(['9']),set(['92']),set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-7,"set(['91', '90', '92'])","set(['91', '90', '92'])",set([]),set([]),subset
lzma_encoder_optimum_fast.c,lzma_lzma_optimum_fast-6,"set(['44', '43', '34', '3', '91', '92'])","set(['44', '43', '34', '3', '91', '92'])",set([]),set([]),subset
list.c,list_file-1,"set(['19', '18'])",set(['18']),set(['19']),set([]),subset
list.c,list_file-0,"set(['19', '18', '13', '14', '17'])","set(['13', '14'])","set(['19', '18', '17'])",set([]),subset
list.c,parse_check_value-2,"set(['15', '14', '17', '16'])",set(['16']),"set(['15', '14', '17'])",set([]),subset
list.c,parse_block_header-0,set(['36']),set(['36']),set([]),set([]),subset
list.c,parse_check_value-0,"set(['17', '16'])","set(['17', '16'])",set([]),set([]),subset
list.c,parse_check_value-1,"set(['9', '15', '14', '17', '16'])",set(['9']),"set(['15', '14', '17', '16'])",set([]),subset
list.c,parse_indexes-0,set(['77']),set(['77']),set([]),set([]),subset
list.c,parse_indexes-1,"set(['77', '51', '52', '1', '76', '72', '71', '70'])",set(['51']),"set(['1', '52', '77', '76', '72', '71', '70'])",set([]),subset
list.c,parse_indexes-2,"set(['77', '29', '1', '76', '72', '71'])",set(['29']),"set(['77', '1', '72', '71', '76'])",set([]),subset
list.c,parse_indexes-3,"set(['77', '32', '44', '70', '43', '1', '76', '72', '71', '47', '69'])","set(['32', '44', '43', '47', '72', '71', '70', '69'])","set(['77', '1', '76'])",set([]),subset
list.c,parse_indexes-4,"set(['77', '1', '76', '72', '71', '70'])","set(['77', '1', '76', '72', '71', '70'])",set([]),set([]),subset
list.c,parse_indexes-5,"set(['77', '12', '17', '32', '1', '76', '4', '71', '70', '72'])","set(['77', '12', '17', '32', '1', '76', '4', '71', '70', '72'])",set([]),set([]),subset
list.c,parse_indexes-6,"set(['77', '12', '17', '1', '76', '4', '72'])","set(['12', '4', '17', '72'])","set(['77', '1', '76'])",set([]),subset
list.c,parse_indexes-7,"set(['77', '12', '17', '1', '76', '4', '72'])","set(['12', '17'])","set(['77', '1', '72', '4', '76'])",set([]),subset
list.c,parse_indexes-8,"set(['77', '17', '1', '76', '72', '71', '70', '4'])","set(['17', '77', '72', '71', '70', '4'])","set(['1', '76'])",set([]),subset
list.c,parse_indexes-9,"set(['77', '32', '1', '76', '72', '71', '70'])","set(['32', '71', '70'])","set(['77', '1', '72', '76'])",set([]),subset
list.c,parse_indexes-10,"set(['77', '29', '1', '76', '72', '71'])",set(['29']),"set(['77', '1', '72', '71', '76'])",set([]),subset
list.c,print_info_adv-2,"set(['1', '4'])","set(['1', '4'])",set([]),set([]),subset
list.c,get_ratio-0,"set(['5', '6'])","set(['5', '6'])",set([]),set([]),subset
list.c,get_check_names-0,set(['1']),set(['1']),set([]),set([]),subset
list.c,get_ratio-1,"set(['5', '6'])",set(['5']),set(['6']),set([]),subset
list.c,get_check_names-1,"set(['1', '11'])","set(['1', '11'])",set([]),set([]),subset
list.c,print_info_adv-1,"set(['25', '20', '22'])","set(['25', '20'])",set(['22']),set([]),subset
list.c,parse_block_header-2,"set(['21', '35', '36'])",set(['21']),"set(['36', '35'])",set([]),subset
list.c,parse_block_header-3,"set(['36', '35'])",set(['36']),set(['35']),set([]),subset
list.c,parse_details-0,set(['5']),set(['5']),set([]),set([]),subset
list.c,parse_block_header-1,"set(['30', '36'])",set(['30']),set(['36']),set([]),subset
list.c,print_info_robot-0,"set(['18', '13', '15'])",set(['18']),"set(['13', '15'])",set([]),subset
list.c,print_info_robot-1,"set(['18', '13', '15'])","set(['18', '13'])",set(['15']),set([]),subset
list.c,print_info_adv-0,"set(['25', '20', '22'])",set(['25']),"set(['20', '22'])",set([]),subset
options.c,parse_options-0,"set(['38', '4', '40', '41'])",set(['38']),"set(['4', '40', '41'])",set([]),subset
options.c,parse_options-4,"set(['38', '4', '40', '41'])","set(['38', '4', '40'])",set(['41']),set([]),subset
options.c,parse_options-2,"set(['15', '4', '40', '41'])",set(['15']),"set(['4', '40', '41'])",set([]),subset
options.c,parse_options-3,"set(['11', '4', '40', '41'])",set(['11']),"set(['4', '40', '41'])",set([]),subset
