Analizing File:  binpos.c
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
Analizing File:  memutil.c
        0.27 real         0.05 user         0.00 sys
        0.25 real         0.04 user         0.00 sys
        0.25 real         0.04 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.25 real         0.04 user         0.00 sys
        0.28 real         0.05 user         0.00 sys
        0.26 real         0.04 user         0.00 sys
        0.25 real         0.04 user         0.00 sys
        0.25 real         0.04 user         0.00 sys
        0.25 real         0.04 user         0.00 sys
Analizing File:  molio.c
        0.93 real         0.28 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
        0.92 real         0.26 user         0.01 sys
        0.96 real         0.27 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
        0.92 real         0.25 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
        0.91 real         0.25 user         0.01 sys
        0.94 real         0.27 user         0.01 sys
        0.90 real         0.25 user         0.01 sys
Analizing File:  molutil.c
        1.19 real         0.39 user         0.01 sys
        1.19 real         0.39 user         0.01 sys
        1.19 real         0.39 user         0.01 sys
        1.20 real         0.39 user         0.01 sys
        1.20 real         0.41 user         0.01 sys
        1.20 real         0.39 user         0.01 sys
        1.19 real         0.39 user         0.01 sys
        1.20 real         0.39 user         0.01 sys
        1.20 real         0.40 user         0.01 sys
        1.18 real         0.39 user         0.01 sys
Analizing File:  nabmd.c
        0.32 real         0.02 user         0.00 sys
        0.31 real         0.02 user         0.00 sys
        0.31 real         0.02 user         0.00 sys
        0.31 real         0.02 user         0.00 sys
        0.32 real         0.02 user         0.00 sys
        0.31 real         0.02 user         0.00 sys
        0.32 real         0.02 user         0.00 sys
        0.31 real         0.02 user         0.00 sys
        0.31 real         0.02 user         0.00 sys
        0.33 real         0.03 user         0.01 sys
Analizing File:  nblist.c
        0.37 real         0.10 user         0.00 sys
        0.38 real         0.09 user         0.00 sys
        0.35 real         0.09 user         0.00 sys
        0.35 real         0.09 user         0.00 sys
        0.35 real         0.09 user         0.00 sys
        0.35 real         0.09 user         0.00 sys
        0.35 real         0.10 user         0.00 sys
        0.35 real         0.09 user         0.00 sys
        0.35 real         0.09 user         0.00 sys
        0.36 real         0.09 user         0.00 sys
Analizing File:  prm.c
        0.97 real         0.28 user         0.00 sys
        0.97 real         0.28 user         0.01 sys
        0.99 real         0.28 user         0.01 sys
        0.97 real         0.28 user         0.01 sys
        0.97 real         0.28 user         0.01 sys
        1.00 real         0.28 user         0.01 sys
        0.97 real         0.27 user         0.01 sys
        0.98 real         0.28 user         0.01 sys
        0.97 real         0.28 user         0.00 sys
        0.99 real         0.28 user         0.01 sys
Analizing File:  rand2.c
        0.27 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.23 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
        0.21 real         0.04 user         0.00 sys
Analizing File:  regcomp.c
        0.85 real         0.23 user         0.01 sys
        0.93 real         0.27 user         0.01 sys
        0.85 real         0.23 user         0.00 sys
        0.92 real         0.24 user         0.01 sys
        0.88 real         0.24 user         0.01 sys
        0.85 real         0.23 user         0.00 sys
        0.87 real         0.24 user         0.01 sys
        0.85 real         0.24 user         0.01 sys
        1.10 real         0.29 user         0.01 sys
        0.90 real         0.24 user         0.01 sys
Analizing File:  regerror.c
        0.30 real         0.04 user         0.00 sys
        0.29 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.28 real         0.04 user         0.00 sys
        0.27 real         0.04 user         0.00 sys
Analizing File:  regexec.c
        0.25 real         0.02 user         0.00 sys
        0.25 real         0.02 user         0.00 sys
        0.27 real         0.02 user         0.00 sys
        0.28 real         0.03 user         0.00 sys
        0.32 real         0.02 user         0.00 sys
        0.25 real         0.02 user         0.00 sys
        0.25 real         0.02 user         0.00 sys
        0.24 real         0.02 user         0.00 sys
        0.25 real         0.02 user         0.00 sys
        0.25 real         0.03 user         0.00 sys
Analizing File:  regfree.c
        0.23 real         0.03 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.24 real         0.04 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.29 real         0.04 user         0.00 sys
        0.24 real         0.03 user         0.00 sys
        0.23 real         0.04 user         0.00 sys
        0.22 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
Analizing File:  reslib.c
        0.52 real         0.02 user         0.00 sys
        0.49 real         0.02 user         0.00 sys
        0.51 real         0.03 user         0.00 sys
        0.49 real         0.02 user         0.00 sys
        0.49 real         0.02 user         0.00 sys
        0.50 real         0.02 user         0.00 sys
        0.49 real         0.02 user         0.00 sys
        0.51 real         0.02 user         0.00 sys
        0.50 real         0.03 user         0.00 sys
        0.50 real         0.02 user         0.00 sys
Analizing File:  select_atoms.c
        0.41 real         0.13 user         0.00 sys
        0.40 real         0.13 user         0.00 sys
        0.43 real         0.12 user         0.01 sys
        0.43 real         0.13 user         0.01 sys
        0.41 real         0.13 user         0.00 sys
        0.40 real         0.12 user         0.00 sys
        0.40 real         0.12 user         0.00 sys
        0.40 real         0.12 user         0.00 sys
        0.40 real         0.13 user         0.00 sys
        0.40 real         0.13 user         0.00 sys
Analizing File:  sff.c
        0.70 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.72 real         0.02 user         0.00 sys
        0.69 real         0.02 user         0.00 sys
        0.78 real         0.02 user         0.00 sys
        0.69 real         0.03 user         0.00 sys
        0.70 real         0.02 user         0.00 sys
Analizing File:  specrand.c
        0.15 real         0.04 user         0.00 sys
        0.16 real         0.05 user         0.01 sys
        0.15 real         0.04 user         0.00 sys
        0.16 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
Analizing File:  traceback.c
        0.20 real         0.03 user         0.00 sys
        0.21 real         0.03 user         0.01 sys
        0.20 real         0.03 user         0.00 sys
        0.21 real         0.03 user         0.00 sys
        0.20 real         0.03 user         0.00 sys
        0.20 real         0.03 user         0.00 sys
        0.20 real         0.03 user         0.01 sys
        0.21 real         0.03 user         0.00 sys
        0.23 real         0.03 user         0.00 sys
        0.20 real         0.03 user         0.00 sys
